,Ticker,Company,CIK,Name,Exchange,SIC,Business,Incorporated,IRS,Flag_3D,Flag_CAD,Flag_Materials,Flag_supply
344,BPOP,POPULAR INC,763901,Popular Inc,NASDAQ,6022.0,PR,,660667416.0,0,350,11,True
345,BR,BROADRIDGE FINANCIAL INC,833320,Burlington Resources Inc,NYSE,1311.0,TX,DE,911413284.0,0,3,22,True
346,BR,BROADRIDGE FINANCIAL INC,1383312,Broadridge Financial Solutions Inc,NYSE,7389.0,NY,DE,,0,67,193,True
347,BRC,BRADY CORP,746598,Brady Corp,NYSE,3990.0,WI,WI,390178960.0,0,262,449,True
348,BRCD,BROCADE COMMUNICATIONS,1009626,Brocade Communications Systems Inc,NASDAQ,3577.0,CA,DE,770409517.0,0,1615,261,True
349,BREW,CRAFT BREW ALLIANCE,892222,Craft Brew Alliance Inc,NASDAQ,2082.0,OR,WA,911141254.0,0,7,252,True
350,BRKL,BROOKLINE BANCORP INC,1049782,Brookline Bancorp Inc,NASDAQ,6035.0,MA,DE,,0,467,8,True
351,BRKR,BRUKER CORP,1109354,Bruker Corp,NASDAQ,3826.0,MA,DE,43110160.0,0,14,746,True
352,BRKS,BROOKS AUTOMATION INC,933974,Brooks Automation Inc,NASDAQ,3559.0,MA,DE,43040660.0,0,206,528,True
353,BRO,BROWN & BROWN INC,79282,Brown & Brown Inc,NYSE,6411.0,FL,FL,590864469.0,0,31,107,True
354,BRS,BRISTOW GROUP INC,73887,Bristow Group Inc,NYSE,4522.0,TX,DE,720679819.0,0,118,81,True
355,BRSS,GLOBAL BRASS & COPPR HLD,1533526,Global Brass & Copper Holdings Inc,NYSE,3350.0,IL,,61826563.0,0,10,115,True
356,BRX,BRIXMOR PROPERTY GROUP,1581068,Brixmor Property Group Inc,NYSE,6798.0,NY,DE,452433192.0,0,120,0,True
357,BSET,BASSETT FURNITURE INDS,10329,Bassett Furniture Industries Inc,NASDAQ,2511.0,VA,VA,540135270.0,0,3,201,True
358,BSFT,BROADSOFT INC,1086909,Broadsoft Inc,NASDAQ,7372.0,MD,DE,,0,60,1,True
359,BSRR,SIERRA BANCORP,1130144,Sierra Bancorp,NASDAQ,6022.0,CA,CA,330937517.0,0,8,18,True
360,BSTC,BIOSPECIFICS TECHNO CORP,875622,Biospecifics Technologies Corp,NASDAQ,2834.0,NY,DE,113054851.0,0,3,48,True
361,BSX,BOSTON SCIENTIFIC CO,885725,Boston Scientific Corp,NYSE,3841.0,MA,DE,42695240.0,0,284,390,True
362,BTU,PEABODY ENERGY CORP,1064728,Peabody Energy Corp,NYSE,1221.0,MO,DE,134004153.0,0,650,638,True
363,BTX,BIOTIME INC,876343,Biotime Inc,NYSE MKT,2836.0,CA,CA,943127919.0,0,13,598,True
364,BURL,BURLINGTON STORES INC,1579298,Burlington Stores Inc,NYSE,5311.0,NJ,DE,800895227.0,0,4,9,True
365,BUSE,FIRST BUSEY CORP,314489,First Busey Corp,NASDAQ,6022.0,IL,NV,371078406.0,0,6,4,True
366,BV,BAZAARVOICE INC,1330421,Bazaarvoice Inc,NASDAQ,7372.0,TX,DE,202908277.0,0,20,10,True
367,BWA,BORG WARNER INC,908255,Borgwarner Inc,NYSE,3714.0,MI,DE,133404508.0,0,276,316,True
368,BWINB,BALDWIN & LYONS INC,9346,Baldwin & Lyons Inc,NASDAQ,6331.0,IN,IN,350160330.0,0,5,8,True
369,BWLD,BUFFALO WILD WINGS INC,1062449,Buffalo Wild Wings Inc,NASDAQ,5812.0,MN,MN,311455915.0,0,13,103,True
370,BXP,BOSTON PROPERTIES INC,1037540,Boston Properties Inc,NYSE,6798.0,MA,DE,42473675.0,0,183,66,True
371,BXS,BANCORPSOUTH INC,701853,Bancorpsouth Inc,NYSE,6022.0,MS,MS,640659571.0,0,11,18,True
372,BYD,BOYD GAMING CORP,906553,Boyd Gaming Corp,NYSE,7011.0,NV,NV,880242733.0,0,575,54,True
373,BZH,BEAZER HOMES USA INC,915840,Beazer Homes USA Inc,NYSE,1531.0,GA,DE,582086934.0,0,182,235,True
374,C,CITIGROUP INC,831001,Citigroup Inc,NYSE,6021.0,NY,DE,521568099.0,0,89,93,True
375,CA,CA INC,356028,Ca Inc,NASDAQ,7372.0,NY,DE,132857434.0,0,184,35,True
376,CAA,CALATLANTIC GROUP INC,1021422,Eastern Light Capital Inc,,6798.0,CA,DE,943240473.0,0,0,0,False
377,CAB,CABELAS INC,1267130,Cabelas Inc,NYSE,5940.0,NE,DE,200486586.0,0,431,32,True
378,CAC,CAMDEN NATIONAL CORP,750686,Camden National Corp,NASDAQ,6021.0,ME,ME,10413282.0,0,308,12,True
379,CACC,CREDIT ACCEP CORP MICH,885550,Credit Acceptance Corp,NASDAQ,6141.0,MI,MI,381999511.0,0,9,1,True
380,CACI,CACI INTERNATIONAL INC,16058,Caci International Inc,NYSE,7373.0,VA,DE,541345888.0,0,9,198,True
381,CACQ,CAESARS ACQUISITION CO,1575879,Caesars Acquisition Co,NASDAQ,7011.0,NV,DE,462672999.0,0,89,2,True
382,CAG,CONAGRA BRANDS INC,23217,Conagra Foods Inc,NYSE,2000.0,NE,DE,470248710.0,0,194,286,True
383,CAH,CARDINAL HEALTH INC,721371,Cardinal Health Inc,NYSE,5122.0,OH,OH,310958666.0,0,326,103,True
384,CAKE,CHEESECAKE FACTORY INC,887596,Cheesecake Factory Inc,NASDAQ,5812.0,CA,DE,510340466.0,0,10,256,True
385,CAL,CALERES INC,319687,United Airlines Inc,,4512.0,IL,DE,742099724.0,0,65,245,True
386,CALA,CALITHERA BIOSCIENCES,822665,Catalina Lighting Inc,,3640.0,FL,FL,591548266.0,0,0,73,False
387,CALD,CALLIDUS SOFTWARE INC,1035748,Callidus Software Inc,NASDAQ,7371.0,CA,DE,770438629.0,0,124,88,True
388,CALM,CAL MAINE FOODS INC,16160,Cal Maine Foods Inc,NASDAQ,200.0,MS,DE,640500378.0,0,169,28,True
389,CALX,CALIX INC,1406666,Calix Inc,NYSE,4899.0,CA,,680438710.0,0,163,95,True
390,CAMP,CALAMP CORP,730255,Calamp Corp,NASDAQ,3663.0,CA,DE,953647070.0,0,12,185,True
391,CAR,AVIS BUDGET GROUP INC,723612,Avis Budget Group Inc,NASDAQ,7510.0,X1,DE,60918165.0,0,146,27,True
392,CARA,CARA THERAPEUTICS INC,1346830,Cara Therapeutics Inc,NASDAQ,2834.0,CT,DE,,0,1,13,True
393,CARB,CARBONITE INC,1340127,Carbonite Inc,NASDAQ,7374.0,MA,DE,331111329.0,0,3,55,True
394,CARS,CARS.COM,1049316,Capital Automotive REIT,NYSE MKT,6798.0,VA,MD,541870224.0,0,2,4,False
395,CASH,META FINANCIAL GROUP INC,907471,Meta Financial Group Inc,NASDAQ,6035.0,SD,DE,421406262.0,0,6,8,True
396,CASS,CASS INFORMATION SYSTEMS,708781,Cass Information Systems Inc,NASDAQ,7389.0,MO,MO,431265338.0,0,11,0,True
397,CASY,CASEYS GENERAL STORES,726958,Caseys General Stores Inc,NASDAQ,5500.0,IA,IA,420935283.0,0,105,24,True
398,CAT,CATERPILLAR INC,18230,Caterpillar Inc,NYSE,3531.0,IL,DE,370602744.0,0,415,356,True
399,CATM,CARDTRONICS PLC,1277856,Cardtronics Inc,NASDAQ,7389.0,TX,DE,760681190.0,0,10,13,True
400,CATO,CATO CORP,18255,Cato Corp,NYSE,5621.0,NC,DE,560484485.0,0,2,28,True
401,CATY,CATHAY GENERAL BANCORP,861842,Cathay General Bancorp,NASDAQ,6022.0,CA,DE,954274680.0,0,9,4,True
402,CAVM,CAVIUM INC,1175609,Cavium Inc,NASDAQ,3674.0,CA,DE,770558625.0,0,6,69,True
403,CB,CHUBB LIMITED,20171,Chubb Corp,NYSE,6331.0,NJ,NJ,132595722.0,0,12,8,True
404,CBB,CINCINNATI BELL INC,716133,Cincinnati Bell Inc,NYSE,4813.0,OH,OH,311056105.0,0,338,153,True
405,CBF,CAPITAL BANK FINANCIAL,1330969,Cbre Realty Finance Inc,NASDAQ,6798.0,CT,,,0,1,0,True
406,CBF,CAPITAL BANK FINANCIAL,1479750,Capital Bank Financial Corp,NASDAQ,6021.0,FL,DE,271454759.0,0,14,8,True
407,CBG,CBRE GROUP INC,1138118,Cbre Group Inc,NYSE,6500.0,CA,DE,943391143.0,0,173,9,True
408,CBI,CHICAGO BRIDGE & IRON,1027884,Chicago Bridge & Iron Co N V,NYSE,1700.0,P7,P7,,0,170,217,True
409,CBL,CBL & ASSOC PPTYS INC,910612,CBL & Associates Properties Inc,NYSE,6798.0,TN,DE,621545718.0,0,549,0,True
410,CBM,CAMBREX CORP,820081,Cambrex Corp,NYSE,2834.0,NJ,DE,222476135.0,0,4,294,True
411,CBM,CAMBREX CORP,840081,Tax Exempt Securities Trust Series 289,NYSE,,NY,NY,,0,0,0,False
412,CBOE,CBOE HLDGS INC,1374310,Cboe Holdings Inc,NASDAQ,6200.0,IL,DE,205446972.0,0,144,3,True
413,CBRL,CRACKER BARREL STORE,25373,Cracker Barrel Old Country Store Inc,NASDAQ,5812.0,TN,TN,620812904.0,0,0,37,False
414,CBRL,CRACKER BARREL STORE,1067294,Cracker Barrel Old Country Store Inc,NASDAQ,5812.0,TN,,620812904.0,0,7,52,True
415,CBS,CBS CORPORATION,813828,CBS Corp,NYSE,4833.0,NY,DE,42949533.0,0,18,67,True
416,CBSH,COMMERCE BANCSHARES INC,22356,Commerce Bancshares Inc,NASDAQ,6022.0,MO,MO,430889454.0,0,179,111,True
417,CBT,CABOT CORP,16040,Cabot Corp,NYSE,2890.0,MA,DE,42271897.0,0,188,1774,True
418,CBU,COMMUNITY BANK SYSTEMS,723188,Community Bank System Inc,NYSE,6021.0,NY,DE,161213679.0,0,15,1,True
419,CBZ,CBIZ INC,944148,Cbiz Inc,NYSE,7389.0,OH,DE,222769024.0,0,25,55,True
420,CBZ,CBIZ INC,1062780,Cobalt Corp,NYSE,6324.0,WI,WI,391931212.0,0,0,14,True
421,CC,THE CHEMOURS COMPANY,104599,Circuit City Stores Inc,,5731.0,VA,VA,540493875.0,0,1,109,True
422,CCBG,CAPITAL CITY BANK GROUP,726601,Capital City Bank Group Inc,NASDAQ,6022.0,FL,FL,592273542.0,0,20,0,True
423,CCC,CALGON CARBON CORP,812701,Calgon Carbon Corporation,NYSE,2810.0,PA,DE,250530110.0,0,11,411,True
424,CCF,CHASE CORP,830524,Chase Corp,NYSE MKT,3640.0,MA,MA,111797126.0,0,62,1583,True
425,CCI,CROWN CASTLE INTL CORP,1051470,Crown Castle International Corp,NYSE,4899.0,TX,DE,760470458.0,0,386,127,True
426,CCK,CROWN HOLDINGS INC,1219601,Crown Holdings Inc,NYSE,3411.0,PA,PA,753099507.0,0,212,546,True
427,CCL,CARNIVAL CORP,815097,Carnival Corp,NYSE,4400.0,FL,DE,591562976.0,0,150,16,True
